t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
4.952089786529541016e-01,8.589973544549505382e-20,-1.570796326792978093e+00,8.461412462755007301e-12,2.427913957557294297e-19,4.085183573306284497e-12,1.762794179716247559e-11,5.962116003320843956e-16,-1.478695981274875004e+00,-1.478695981201891829e+00
5.056984424591064453e-01,8.929646782392862935e-20,-1.570796326792938125e+00,8.637691884986990970e-12,-7.261496530307888461e-19,4.085182677447641262e-12,1.762794504132547586e-11,-3.011133178257014099e-16,-1.478695981279773308e+00,-1.478695981205269350e+00
5.183455944061279297e-01,8.668786425063748929e-20,-1.570796326792898157e+00,8.813971306143573603e-12,1.994972193019660694e-19,4.085184090527833749e-12,1.762793993248305434e-11,-2.026270579367489337e-16,-1.478695981284676275e+00,-1.478695981208648424e+00
5.330779552459716797e-01,8.817718805267261428e-20,-1.570796326792858189e+00,8.990250734199732734e-12,1.296665859460061571e-19,4.085184001691718501e-12,1.762794394440692980e-11,-4.678468720680790025e-16,-1.478695981289576133e+00,-1.478695981212026389e+00
5.440013408660888672e-01,8.933302593382393663e-20,-1.570796326792818220e+00,9.166530145964472765e-12,4.777082122179194651e-19,4.085185383307709359e-12,1.762794295959141911e-11,-1.014950237796091853e-15,-1.478695981294474437e+00,-1.478695981215403465e+00
5.560243129730224609e-01,8.966115980914030966e-20,-1.570796326792778252e+00,9.342809565266140033e-12,1.063693093132471962e-18,4.085183875851252843e-12,1.762793926151527752e-11,3.418564115648099845e-16,-1.478695981299387174e+00,-1.478695981218787203e+00
5.689687728881835938e-01,8.931886097070494537e-20,-1.570796326792738284e+00,9.519088985070466542e-12,-3.351656403645494638e-19,4.085183410638732265e-12,1.762794380841072752e-11,4.630913871490369112e-17,-1.478695981304287699e+00,-1.478695981222164724e+00
5.811030864715576172e-01,9.292239689605973408e-20,-1.570796326792698316e+00,9.695368419233097521e-12,5.706512646669047476e-19,4.085183597523412184e-12,1.762794144330958927e-11,-1.697751047739150910e-16,-1.478695981309188223e+00,-1.478695981225543132e+00
5.910389423370361328e-01,9.131932018634640334e-20,-1.570796326792658348e+00,9.871647855445462671e-12,-2.112724140508286932e-18,4.085182148039828927e-12,1.762794937657744743e-11,-3.422534672972376584e-16,-1.478695981314090524e+00,-1.478695981228921763e+00
6.010398864746093750e-01,8.935422735486781907e-20,-1.570796326792618380e+00,1.004792729482750153e-11,1.136929988396265619e-18,4.085184685981741537e-12,1.762794096746982538e-11,5.305552005504605955e-16,-1.478695981318998598e+00,-1.478695981232303946e+00
6.148228645324707031e-01,9.041383774581797882e-20,-1.570796326792578412e+00,1.022420671915134096e-11,-3.637014869152372328e-19,4.085182699922428503e-12,1.762794356768817671e-11,2.379273981093039141e-16,-1.478695981323899789e+00,-1.478695981235681689e+00
6.249768733978271484e-01,8.748697402906510814e-20,-1.570796326792538444e+00,1.040048615261927917e-11,-7.934750628689842937e-19,4.085181320399604453e-12,1.762794550122857127e-11,-2.629077153247091347e-16,-1.478695981328796982e+00,-1.478695981239058321e+00
